accommodatie_id;accommodatie naam;bouwjaar;X;Y;adres;postcode;plaatsnaam;gemeente;provincie;aantal voorzieningen;aantal indoor voorzieningen;aantal outdoor voorzieningen;aantal outdoor kunstgrasvelden;aantal outdoor natuurgrasvelden;aantal outdoor semi-watervelden;aantal outdoor watervelden;aantal sporthallen;aantal sportzalen;aantal gymzalen;sport
13821;gymzaal maetsuykerstraat 2;1904;135011;455926;maetsuykerstraat 2;3531hs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13821;gymzaal maetsuykerstraat 2;1904;135011;455926;maetsuykerstraat 2;3531hs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13828;Gymzaal Emile Hullebroeckstraat;2008;131208;457116;Emile Hullebroeckstraat 64;3543bz;utrecht;utrecht;utrecht;2;2;0;0;0;0;0;0;0;2;badminton
13828;Gymzaal Emile Hullebroeckstraat;2008;131208;457116;Emile Hullebroeckstraat 64;3543bz;utrecht;utrecht;utrecht;2;2;0;0;0;0;0;0;0;2;basketbal
13828;Gymzaal Emile Hullebroeckstraat;2008;131208;457116;Emile Hullebroeckstraat 64;3543bz;utrecht;utrecht;utrecht;2;2;0;0;0;0;0;0;0;2;bewegingsonderwijs
13828;Gymzaal Emile Hullebroeckstraat;2008;131208;457116;Emile Hullebroeckstraat 64;3543bz;utrecht;utrecht;utrecht;2;2;0;0;0;0;0;0;0;2;gymnastiek
13828;Gymzaal Emile Hullebroeckstraat;2008;131208;457116;Emile Hullebroeckstraat 64;3543bz;utrecht;utrecht;utrecht;2;2;0;0;0;0;0;0;0;2;vechtsport
13828;Gymzaal Emile Hullebroeckstraat;2008;131208;457116;Emile Hullebroeckstraat 64;3543bz;utrecht;utrecht;utrecht;2;2;0;0;0;0;0;0;0;2;zaalsport
13829;Gymzaal Verlengde Houtrakgracht;2009;132124;455500;Verlengde Houtrakgracht 598;3544ea;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13829;Gymzaal Verlengde Houtrakgracht;2009;132124;455500;Verlengde Houtrakgracht 598;3544ea;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13829;Gymzaal Verlengde Houtrakgracht;2009;132124;455500;Verlengde Houtrakgracht 598;3544ea;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13829;Gymzaal Verlengde Houtrakgracht;2009;132124;455500;Verlengde Houtrakgracht 598;3544ea;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13829;Gymzaal Verlengde Houtrakgracht;2009;132124;455500;Verlengde Houtrakgracht 598;3544ea;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13830;Gymzaal Nolenslaan;1950;136490;457218;Nolenslaan 33B;3515vb;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13830;Gymzaal Nolenslaan;1950;136490;457218;Nolenslaan 33B;3515vb;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13830;Gymzaal Nolenslaan;1950;136490;457218;Nolenslaan 33B;3515vb;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13830;Gymzaal Nolenslaan;1950;136490;457218;Nolenslaan 33B;3515vb;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13830;Gymzaal Nolenslaan;1950;136490;457218;Nolenslaan 33B;3515vb;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13830;Gymzaal Nolenslaan;1950;136490;457218;Nolenslaan 33B;3515vb;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13831;Gymzaal Wevelaan;;138073;457490;Wevelaan 2-4;3571xs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;badminton
13831;Gymzaal Wevelaan;;138073;457490;Wevelaan 2-4;3571xs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13831;Gymzaal Wevelaan;;138073;457490;Wevelaan 2-4;3571xs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
